date;steps_n;proteins_g;kcal_in;kcal_junk_in;kcal_out_training;sleep_hours;stress_rel;weight_kg;waist_cm;;;
18/03/2026;10000;160;2000;3;2;6;1;81;100;;;1
17/03/2026;10000;160;2000;5;4;6;2;82;100;;;2
16/03/2026;10000;160;2000;8;6;6;10;83;100;;;3
15/03/2026;10000;160;2000;11;8;7;7;83,9;100;;;4
14/03/2026;10000;160;2000;13;10;9;9;84,8;100;;;5
13/03/2026;10000;160;2000;16;12;6;8;85,6;100;;;6
12/03/2026;10000;160;2000;19;14;8;4;86,4;100;;;7
11/03/2026;10000;160;2000;21;16;8;6;87,2;100;;;8
10/03/2026;10000;160;2000;24;18;9;3;87,8;100;;;9
09/03/2026;10000;160;2000;26;20;7;8;88,4;100;;;10
08/03/2026;10000;160;2000;29;22;6;9;88,9;100;;;11
07/03/2026;10000;160;2000;32;24;8;2;89,3;100;;;12
06/03/2026;10000;160;2000;34;26;9;5;89,6;100;;;13
05/03/2026;10000;160;2000;37;28;8;1;89,9;100;;;14
04/03/2026;10000;160;2000;40;30;9;5;90;100;;;15
03/03/2026;10000;160;2000;42;32;7;5;90;100;;;16
02/03/2026;10000;160;2000;45;34;8;3;89,9;100;;;17
01/03/2026;10000;160;2000;48;36;8;7;89,7;100;;;18
28/02/2026;10000;160;2000;50;38;8;2;89,5;100;;;19
27/02/2026;10000;160;2000;53;40;7;3;89,1;100;;;20
26/02/2026;10000;160;2000;55;42;6;10;88,6;100;;;21
25/02/2026;10000;160;2000;58;44;7;1;88,1;100;;;22
24/02/2026;10000;160;2000;61;46;9;1;87,5;100;;;23
23/02/2026;10000;160;2000;63;48;7;10;86,8;100;;;24
22/02/2026;10000;160;2000;66;50;9;3;86;100;;;25
21/02/2026;10000;160;2000;69;52;6;10;85,2;100;;;26
20/02/2026;10000;160;2000;71;54;6;1;84,3;100;;;27
19/02/2026;10000;160;2000;74;56;7;6;83,3;100;;;28
18/02/2026;10000;160;2000;77;58;6;4;82,4;100;;;29
17/02/2026;10000;160;2000;79;60;8;2;81,4;100;;;30
16/02/2026;10000;160;2000;82;62;8;1;80,4;100;;;31
15/02/2026;10000;160;2000;84;64;9;6;79,4;100;;;32
14/02/2026;10000;160;2000;87;66;7;3;78,4;100;;;33
13/02/2026;10000;160;2000;90;68;6;7;77,4;100;;;34
12/02/2026;10000;160;2000;92;70;9;7;76,5;100;;;35
11/02/2026;10000;160;2000;95;72;7;2;75,6;100;;;36
10/02/2026;10000;160;2000;98;74;9;7;74,7;100;;;37
09/02/2026;10000;160;2000;100;76;8;6;73,9;100;;;38
08/02/2026;10000;160;2000;103;78;6;10;73,1;100;;;39
07/02/2026;10000;160;2000;106;80;6;2;72,4;100;;;40
06/02/2026;10000;160;2000;108;82;7;8;71,8;100;;;41
05/02/2026;10000;160;2000;111;84;9;4;71,3;100;;;42
04/02/2026;10000;160;2000;114;86;6;5;70,8;100;;;43
03/02/2026;10000;160;2000;116;88;7;1;70,5;100;;;44
02/02/2026;10000;160;2000;119;90;6;1;70,2;100;;;45
01/02/2026;10000;160;2000;121;92;7;10;70,1;100;;;46
31/01/2026;10000;160;2000;124;94;6;1;70;100;;;47
30/01/2026;10000;160;2000;127;96;6;6;70;100;;;48
29/01/2026;10000;160;2000;129;98;6;7;70,2;100;;;49
28/01/2026;10000;160;2000;132;100;8;9;70,4;100;;;50
27/01/2026;10000;160;2000;135;102;6;8;70,7;100;;;51
26/01/2026;10000;160;2000;137;104;9;5;71,2;100;;;52
25/01/2026;10000;160;2000;140;106;9;4;71,7;100;;;53
24/01/2026;10000;160;2000;143;108;7;4;72,3;100;;;54
23/01/2026;10000;160;2000;145;110;6;2;72,9;100;;;55
22/01/2026;10000;160;2000;148;112;8;4;73,7;100;;;56
21/01/2026;10000;160;2000;150;114;6;2;74,5;100;;;57
20/01/2026;10000;160;2000;153;116;9;10;75,4;100;;;58
19/01/2026;10000;160;2000;156;118;6;4;76,3;100;;;59
18/01/2026;10000;160;2000;158;120;9;6;77,2;100;;;60
17/01/2026;10000;160;2000;161;122;6;7;78,2;100;;;61
16/01/2026;10000;160;2000;164;124;7;7;79,2;100;;;62
15/01/2026;10000;160;2000;166;126;7;4;80,2;100;;;63
14/01/2026;10000;160;2000;169;128;8;5;81,2;100;;;64
13/01/2026;10000;160;2000;172;130;8;1;82,2;100;;;65
12/01/2026;10000;160;2000;174;132;6;1;83,1;100;;;66
11/01/2026;10000;120;2000;177;134;9;3;84;100;;;67
